zp_m,df_hz
-3.8765968806257879e-07,-6.8345272552505776
-3.8763468836302048e-07,-6.8032036892873293
-3.8760968866346216e-07,-6.7653203927875438
-3.8758468896390385e-07,-6.731670509907417
-3.8755968926434553e-07,-6.7109439783052949
-3.8753468956478722e-07,-6.6549347366162692
-3.875096898652289e-07,-6.637262117692444
-3.8748469016567058e-07,-6.5970453988484223
-3.8745969046611227e-07,-6.5635020973786595
-3.8743469076655395e-07,-6.5327483866894909
-3.8740969106699564e-07,-6.4852358150346845
-3.8738469136743732e-07,-6.4621985984558705
-3.8735969166787901e-07,-6.4227847929032578
-3.8733469196832069e-07,-6.3816855799814221
-3.8730969226876238e-07,-6.3463602373303729
-3.8728469256920406e-07,-6.327090318336559
-3.8725969286964575e-07,-6.296980359365989
-3.8723469317008743e-07,-6.2541332113141834
-3.8720969347052911e-07,-6.2365558051169501
-3.871846937709708e-07,-6.1893615566077642
-3.8715969407141248e-07,-6.1678136376031034
-3.8713469437185417e-07,-6.1395127204377786
-3.8710969467229585e-07,-6.0968588400100998
-3.8708469497273754e-07,-6.0908433852091548
-3.8705969527317922e-07,-6.0544707025655953
-3.8703469557362091e-07,-6.0319607086967153
-3.8700969587406259e-07,-5.9905389093728445
-3.8698469617450427e-07,-5.953639004019351
-3.8695969647494596e-07,-5.9270050201121194
-3.8693469677538764e-07,-5.9032487342847162
-3.8690969707582933e-07,-5.8585882811712509
-3.8688469737627101e-07,-5.8325412055637571
-3.868596976767127e-07,-5.8239407962901169
-3.8683469797715438e-07,-5.7815711329567421
-3.8680969827759607e-07,-5.7587257629165833
-3.8678469857803775e-07,-5.7079034831986064
-3.8675969887847944e-07,-5.7070622005994665
-3.8673469917892112e-07,-5.6797560432642058
-3.867096994793628e-07,-5.6549438909314631
-3.8668469977980449e-07,-5.6099736411852064
-3.8665970008024617e-07,-5.6009341165008664
-3.8663470038068786e-07,-5.5688872180326143
-3.8660970068112954e-07,-5.5432778367503488
-3.8658470098157123e-07,-5.5004178989292996
-3.8655970128201291e-07,-5.4739373922529921
-3.865347015824546e-07,-5.4516249292646535
-3.8650970188289628e-07,-5.4244281955106999
-3.8648470218333797e-07,-5.411597214788344
-3.8645970248377965e-07,-5.3789307230545091
-3.8643470278422133e-07,-5.3595087479152426
-3.8640970308466302e-07,-5.3266461463863379
-3.863847033851047e-07,-5.3027832791485707
-3.8635970368554639e-07,-5.2813959428021917
-3.8633470398598807e-07,-5.2662528560176725
