zp_m,df_hz
-3.9042800072574845e-07,-7.2780906634761777
-3.9040300102619014e-07,-7.2469319434276258
-3.9037800132663182e-07,-7.2294497499569843
-3.903530016270735e-07,-7.2041615339912823
-3.9032800192751519e-07,-7.1524183908877603
-3.9030300222795687e-07,-7.126192258510855
-3.9027800252839856e-07,-7.1015421099218656
-3.9025300282884024e-07,-7.0513692662643734
-3.9022800312928193e-07,-7.0336312774088583
-3.9020300342972361e-07,-6.9604141117451945
-3.901780037301653e-07,-6.9339478159236023
-3.9015300403060698e-07,-6.8963046828685037
-3.9012800433104867e-07,-6.8655580776066927
-3.9010300463149035e-07,-6.844649647064216
-3.9007800493193203e-07,-6.8064267111367371
-3.9005300523237372e-07,-6.7732017328125949
-3.900280055328154e-07,-6.7247341917209269
-3.9000300583325709e-07,-6.7117767343916057
-3.8997800613369877e-07,-6.6711734802993305
-3.8995300643414046e-07,-6.6348974314678344
-3.8992800673458214e-07,-6.5865677356669039
-3.8990300703502383e-07,-6.5787560288299574
-3.8987800733546551e-07,-6.5222536704823142
-3.898530076359072e-07,-6.514819972380792
-3.8982800793634888e-07,-6.4935321120174194
-3.8980300823679056e-07,-6.446543920901604
-3.8977800853723225e-07,-6.4078406580847513
-3.8975300883767393e-07,-6.3775857483960863
-3.8972800913811562e-07,-6.3716910858602205
-3.897030094385573e-07,-6.320831857919984
-3.8967800973899899e-07,-6.2796729594083445
-3.8965301003944067e-07,-6.2507083953278197
-3.8962801033988236e-07,-6.2347041307475592
-3.8960301064032404e-07,-6.2115816490404541
-3.8957801094076573e-07,-6.165919330669567
-3.8955301124120741e-07,-6.1423307329278032
-3.8952801154164909e-07,-6.1101047776901396
-3.8950301184209078e-07,-6.0772748611270799
-3.8947801214253246e-07,-6.058108681372687
-3.8945301244297415e-07,-6.0234853549445688
-3.8942801274341583e-07,-5.9884598613280104
-3.8940301304385752e-07,-5.9617349279506016
-3.893780133442992e-07,-5.9489337900231476
-3.8935301364474089e-07,-5.9095754068039241
-3.8932801394518257e-07,-5.8796103985514492
-3.8930301424562426e-07,-5.8547072967485292
-3.8927801454606594e-07,-5.8382866541251133
-3.8925301484650762e-07,-5.8046012441081984
-3.8922801514694931e-07,-5.7648463780424208
-3.8920301544739099e-07,-5.7460567859379807
-3.8917801574783268e-07,-5.7332897540618433
-3.8915301604827436e-07,-5.7131629205287027
-3.8912801634871605e-07,-5.668793789936899
-3.8910301664915773e-07,-5.656940516018949
-3.8907801694959942e-07,-5.6363859357588808
-3.890530172500411e-07,-5.6020127203737502
-3.8902801755048278e-07,-5.5740173365848023
-3.8900301785092447e-07,-5.5402722409780836
-3.8897801815136615e-07,-5.52995800262579
-3.8895301845180784e-07,-5.4995197729112988
-3.8892801875224952e-07,-5.4772456792306912
-3.8890301905269121e-07,-5.4510252311956719
-3.8887801935313289e-07,-5.4288989304041024
-3.8885301965357458e-07,-5.4399279747485707
-3.8882801995401626e-07,-5.375788703076978
-3.8880302025445795e-07,-5.360632826523215
-3.8877802055489963e-07,-5.3286484558157099
-3.8875302085534131e-07,-5.2958768037569826
-3.88728021155783e-07,-5.2784159265684139
-3.8870302145622468e-07,-5.2748802659152716
-3.8867802175666637e-07,-5.2425406238398864
-3.8865302205710805e-07,-5.2261626137806161
-3.8862802235754974e-07,-5.2106386760897294
-3.8860302265799142e-07,-5.1698805236810585
-3.8857802295843311e-07,-5.1272209589114937
-3.8855302325887479e-07,-5.1401613632151566
-3.8852802355931648e-07,-5.1218478347436758
-3.8850302385975816e-07,-5.0954781727341469
-3.8847802416019984e-07,-5.0570875487210287
-3.8845302446064153e-07,-5.0733419243442768
-3.8842802476108321e-07,-5.0310632104810793
-3.884030250615249e-07,-5.0161830245087913
-3.8837802536196658e-07,-4.9839314897326403
-3.8835302566240827e-07,-4.9456886586085602
-3.8832802596284995e-07,-4.953268728513649
-3.8830302626329164e-07,-4.910008044589631
-3.8827802656373332e-07,-4.9168122018272697
-3.8825302686417501e-07,-4.8680902864361997
-3.8822802716461669e-07,-4.8538097985328932
-3.8820302746505837e-07,-4.8554397835687269
-3.8817802776550006e-07,-4.8100446292664856
-3.8815302806594174e-07,-4.8121336249096203
-3.8812802836638343e-07,-4.7753871967870509
-3.8810302866682511e-07,-4.7734488362038974
